,MT_FC,MT_p,MG_FC,MG_p,Comparison
K02588,-3.322479477,1.13E-05,-4.649147079,1.10E-08,I_IV
K02591,,,-0.210831716,0.829934062,I_IV
K02594,0.427433616,0.388499169,-0.934676428,0.256876786,I_IV
K02598,-1.183752589,0.036913156,-2.806700683,2.27E-05,I_IV
K02600,-0.194512476,0.349307774,-0.20707713,0.013203574,I_IV
K02601,-2.621419029,2.91E-10,-0.142065508,0.15380891,I_IV
K02614,0.030910452,0.959354956,-2.096122171,0.003184573,I_IV
K02619,-3.136403634,1.51E-05,-4.866448175,6.85E-11,I_IV
K02621,0.873188036,0.005000867,2.700712473,5.40E-15,I_IV
K02622,0.617917177,0.057443577,2.736125007,2.00E-11,I_IV
K02623,1.162061193,0.016578883,0.177810366,0.881770326,I_IV
K02624,0.660519414,0.312316741,-0.419229544,0.613026894,I_IV
K02626,-1.397215517,0.008722685,-1.856774761,0.00429575,I_IV
K02647,-5.229599228,1.27E-09,-5.478452703,1.20E-10,I_IV
K02650,0.805549356,0.10909249,-1.232216259,0.031487844,I_IV
K02652,-2.906042773,4.37E-05,-5.736145815,1.44E-11,I_IV
K02653,-3.035809129,5.56E-06,-5.067486322,1.31E-09,I_IV
K02654,-1.800452832,0.000353544,-7.037829188,5.38E-20,I_IV
K02657,0.806554458,0.085108243,-0.504929011,0.493893031,I_IV
K02662,-0.68004016,0.208981876,-1.888446501,0.018929574,I_IV
K02666,-1.401354095,0.006885896,-3.049757504,2.14E-08,I_IV
K02667,-1.253408513,0.040327025,-3.239643504,2.78E-07,I_IV
K02669,-2.323463303,0.000233395,-4.990902772,1.38E-10,I_IV
K02674,-0.191908015,0.725848701,,,I_IV
K02679,,,0.198955259,0.862190809,I_IV
K02680,,,0.256494912,0.789770844,I_IV
K02682,,,0.138970129,0.91674288,I_IV
K02686,0.521219162,0.311863152,,,I_IV
K02687,1.30511331,0.033949416,1.932096687,6.05E-11,I_IV
K02688,-1.08788771,0.04291362,-4.010079496,1.50E-06,I_IV
K02742,,,0.073668007,0.957420247,I_IV
K02744,-4.422756813,1.28E-09,-2.26218841,0.001090078,I_IV
K02745,-4.701026769,6.56E-10,-5.422765778,1.45E-14,I_IV
K02746,-5.68554629,3.02E-12,-6.763636412,1.37E-16,I_IV
K02747,-4.91354708,1.46E-08,-6.437539544,8.70E-16,I_IV
K02750,5.82347259,6.91E-16,6.290722325,6.15E-45,I_IV
K02757,5.555514024,8.96E-12,3.834925274,3.50E-16,I_IV
K02759,1.92983559,0.021216074,0.752186618,0.158132655,I_IV
K02760,4.457706493,5.85E-09,1.129300438,0.019889053,I_IV
K02761,2.902153652,5.45E-09,3.744203466,6.29E-21,I_IV
K02765,-1.404808757,0.073862485,-3.535595756,3.02E-05,I_IV
K02768,-1.077544226,0.188368742,1.577637034,0.006682853,I_IV
K02769,3.703625499,3.19E-08,3.871704716,1.21E-08,I_IV
K02770,1.352662749,6.59E-06,2.776039384,3.10E-24,I_IV
K02771,-2.17901558,0.004007249,-0.724806009,0.532193994,I_IV
K02773,3.1894801,3.95E-07,4.062819788,4.04E-20,I_IV
K02774,-0.341484791,0.684882809,1.467359501,0.019273343,I_IV
K02775,-0.380449816,0.544015721,1.486257049,0.004923731,I_IV
K02777,1.348196813,0.004492493,2.420835934,4.89E-11,I_IV
K02779,-0.389520687,0.688468293,-0.950367388,0.36184141,I_IV
K02781,4.796087553,2.04E-09,6.222490993,3.64E-19,I_IV
K02783,-0.387885279,0.637996684,-2.701053399,1.82E-05,I_IV
K02784,-4.691866306,1.76E-09,-2.719822245,7.74E-07,I_IV
K02786,1.378108586,0.110005898,1.261774979,0.145993034,I_IV
K02788,0.341950388,0.731971412,0.08111897,0.968578513,I_IV
K02791,-5.394350886,1.60E-08,-5.496941225,9.09E-11,I_IV
K02793,1.113793287,0.103432881,3.171848578,6.79E-13,I_IV
K02794,1.870526812,1.91E-09,1.962906394,1.16E-15,I_IV
K02795,0.812781752,0.023957137,1.380713019,3.44E-10,I_IV
K02796,0.664297121,0.055874301,1.766719245,2.06E-13,I_IV
K02798,5.365021614,3.49E-10,6.435993636,2.35E-20,I_IV
K02800,4.632289316,4.02E-09,6.143966571,1.15E-20,I_IV
K02802,0.888070559,0.145665732,-0.15317746,0.901585901,I_IV
K02803,1.093432073,0.07736032,-0.154739766,0.898102309,I_IV
K02804,-3.688293757,3.23E-05,-5.427044946,2.47E-11,I_IV
K02805,1.036487538,0.043723595,0.037272853,0.978844642,I_IV
K02806,-5.276589629,2.85E-10,-3.495153546,3.27E-07,I_IV
K02808,,,0.717537933,0.215738957,I_IV
K02810,2.30500771,9.97E-05,3.917836821,1.03E-19,I_IV
K02813,,,-0.286316304,0.73670204,I_IV
K02814,,,-0.112752205,0.935053147,I_IV
K02815,,,-0.207464478,0.862553456,I_IV
K02819,0.279604609,0.637750495,-2.018033907,0.091449927,I_IV
K02821,2.859804343,2.20E-06,-0.610274897,0.221373623,I_IV
K02822,2.232411521,0.000476367,-0.124518396,0.911644354,I_IV
K02823,-4.473748401,1.64E-09,-7.563570372,3.96E-34,I_IV
K02824,1.355708019,0.002859469,1.685348069,1.13E-16,I_IV
K02825,4.036437948,1.92E-10,3.076517139,2.39E-20,I_IV
K02826,1.068226959,0.144876019,-1.319711883,0.105735401,I_IV
K02827,0.214865854,0.783146407,-0.458880951,0.741523147,I_IV
K02828,0.741080926,0.189799181,-0.609257166,0.449781148,I_IV
K02829,0.933439053,0.101069356,-0.481817331,0.531713949,I_IV
K02834,1.418008373,9.27E-07,-0.823636887,2.59E-07,I_IV
K02835,-0.65647203,0.024022307,-0.003341206,0.989286776,I_IV
K02836,-0.721216645,0.015854764,-0.155753256,0.094471293,I_IV
K02837,1.218339404,0.001349403,2.122308295,5.46E-13,I_IV
K02838,-0.823213332,0.000305021,-0.154975716,0.196280375,I_IV
K02839,0.907895164,0.04846334,0.198662673,0.862190809,I_IV
K02840,1.462736329,0.002045372,1.778883301,0.010173842,I_IV
K02841,0.773314804,0.103796561,0.156780608,0.905775352,I_IV
K02843,-2.472348619,1.43E-05,-2.992687914,1.48E-06,I_IV
K02844,0.78201714,0.127622022,0.064968931,0.966074121,I_IV
K02846,0.869289216,0.074493423,-0.156268613,0.910947677,I_IV
K02847,0.852157918,0.055724028,-0.088693209,0.950136388,I_IV
K02848,,,0.073189189,0.957538301,I_IV
K02849,0.875871539,0.064750049,0.149306489,0.91535143,I_IV
K02850,0.940008036,0.052246497,-0.172463905,0.887016506,I_IV
K02851,-0.760145047,0.248355588,-2.226147239,0.001988441,I_IV
K02852,0.54406475,0.255445695,-0.249147025,0.811337953,I_IV
K02853,0.891523326,0.057167511,-0.099379751,0.950602247,I_IV
K02854,,,0.222378931,0.862190809,I_IV
K02855,0.681465789,0.204204231,-0.738628235,0.494748136,I_IV
K02856,-0.208794405,0.685716779,-2.362146302,0.000498766,I_IV
K02858,-3.50324385,2.76E-05,-2.828562075,0.000483043,I_IV
K02859,5.969961264,3.02E-12,5.812820292,2.60E-21,I_IV
K02860,-2.692631799,1.34E-08,0.010316288,0.979301811,I_IV
K02863,-0.248547817,0.242292984,0.183000559,0.087816741,I_IV
K02864,-0.173946078,0.496727472,-0.101006109,0.375078595,I_IV
K02867,0.526184706,0.013270748,0.243510133,0.063619069,I_IV
K02868,,,-0.191895822,0.90022575,I_IV
K02871,0.303475652,0.216061787,0.041340804,0.803426957,I_IV
K02872,1.251327836,0.019541164,,,I_IV
K02873,0.701342681,0.12630947,,,I_IV
K02874,-0.188011226,0.389638172,-0.00761456,0.976238882,I_IV
K02876,-0.164425785,0.425984988,-0.145312658,0.152199328,I_IV
K02878,1.182313955,4.62E-08,-0.000876397,0.997889762,I_IV
K02879,-1.441167687,4.46E-07,-0.203135327,0.045130942,I_IV
K02881,-2.465944344,7.71E-09,-3.586177289,6.45E-33,I_IV
K02884,0.074920671,0.853987132,-0.081784227,0.75000163,I_IV
K02886,-0.284493026,0.20411283,0.363213213,0.002508224,I_IV
K02887,-0.183684918,0.462861431,0.016709609,0.952861322,I_IV
K02888,-0.169240942,0.521587607,-0.548552469,0.000409153,I_IV
K02890,0.004243458,0.984097937,0.104321993,0.547958974,I_IV
K02892,0.598107354,0.014852883,0.141090416,0.206783103,I_IV
K02895,0.257152796,0.218090954,-0.952647025,1.17E-11,I_IV
K02897,-4.3144688,6.28E-08,-6.627740274,7.50E-30,I_IV
K02899,1.6946219,4.05E-11,0.17753752,0.107915544,I_IV
K02902,-0.959202874,0.012122792,-0.413243366,0.013448238,I_IV
K02904,-0.336710694,0.232592712,-0.034766442,0.932808719,I_IV
K02906,0.349436857,0.066399207,-0.775414625,2.73E-12,I_IV
K02907,-0.41561441,0.162388292,-0.08162422,0.773388041,I_IV
K02909,-1.290295212,7.84E-05,-0.235964918,0.279314719,I_IV
K02911,-3.290807347,8.59E-09,-3.943256258,1.33E-22,I_IV
K02913,-1.932698336,2.03E-06,0.341022609,0.299880858,I_IV
K02914,1.862445878,7.86E-05,2.76660489,3.03E-14,I_IV
K02916,-0.617649699,0.047063597,-0.107011691,0.488893979,I_IV
K02925,0.192963015,0.757560451,-0.164618856,0.901585901,I_IV
K02926,1.616362563,2.19E-11,0.091871143,0.367135038,I_IV
K02927,1.92994006,0.001174255,,,I_IV
K02930,0.831299246,0.071903444,,,I_IV
K02931,0.181536248,0.374455777,-0.073306471,0.593574277,I_IV
K02932,0.579588136,0.291798595,,,I_IV
K02933,-0.671347879,0.002052347,-0.559643246,3.99E-06,I_IV
K02935,0.820204396,0.000336652,-0.151326389,0.2835417,I_IV
K02936,0.844381057,0.163237854,-0.022946296,0.989286776,I_IV
K02939,-1.80176812,1.97E-07,0.74169433,1.15E-12,I_IV
K02942,1.114337588,0.022769728,,,I_IV
K02945,-0.042442606,0.832856341,-0.365686109,0.000418969,I_IV
K02946,0.72872179,0.013091498,1.043368476,8.24E-10,I_IV
K02948,-0.788048094,0.001240405,-1.029354929,1.59E-11,I_IV
K02950,-0.195676566,0.437121153,-0.23585517,0.25867233,I_IV
K02952,-0.522097502,0.005903614,-0.0944404,0.399570632,I_IV
K02954,-0.589941511,0.025724325,-0.209124156,0.184570591,I_IV
K02956,-1.961324918,3.04E-05,-0.646089006,0.000953687,I_IV
K02959,-1.683294555,1.46E-08,-1.454689715,9.88E-19,I_IV
K02961,-0.183027156,0.424688711,0.836927234,4.22E-10,I_IV
K02963,0.376848268,0.092107449,0.386838469,0.017024817,I_IV
K02965,0.770242934,0.00037017,0.607585724,0.000317813,I_IV
K02967,0.329512472,0.055220562,-0.214096609,0.02113716,I_IV
K02968,0.119181665,0.667197913,-0.442909678,0.000407239,I_IV
K02970,-0.032755307,0.936796359,2.450460024,1.42E-13,I_IV
K02977,2.033596308,0.001085883,,,I_IV
K02982,0.188624272,0.327985837,-0.230210663,0.031611282,I_IV
K02986,-0.122137936,0.56588959,-0.056240063,0.651916434,I_IV
K02988,1.179559896,1.22E-07,-0.531315947,3.20E-05,I_IV
K02989,1.276757146,0.008581995,,,I_IV
K02990,-0.853086743,0.001278718,-0.066903373,0.814907951,I_IV
K02992,-0.701213003,0.004191279,-0.039713153,0.895212798,I_IV
K02994,-0.245299122,0.273644525,0.625528557,2.01E-05,I_IV
K02996,-0.109176116,0.655771758,-0.715820688,7.39E-10,I_IV
K02998,1.196908514,0.024706591,,,I_IV
K03002,,,0.109419786,0.935197571,I_IV
K03008,0.267466365,0.681968458,-0.082764501,0.956146831,I_IV
K03009,0.770511637,0.14567566,,,I_IV
K03010,1.147879722,0.018550254,,,I_IV
K03018,0.989125849,0.035626086,0.085715624,0.950147414,I_IV
K03040,0.309773414,0.102182181,-0.208545713,0.04226645,I_IV
K03043,0.444114187,0.012554513,0.229263711,0.009307554,I_IV
K03046,-0.089180242,0.616215983,0.13143693,0.101063004,I_IV
K03048,4.33259046,9.00E-15,5.20436281,7.48E-41,I_IV
K03060,-0.769952096,0.107615233,-0.513512671,0.005747708,I_IV
K03070,0.118058075,0.495271906,0.140665435,0.244062515,I_IV
K03071,0.6258247,0.23861694,0.054564124,0.967602291,I_IV
K03072,-4.504361216,1.15E-09,-5.298307993,1.01E-12,I_IV
K03073,-2.494553323,1.50E-05,-1.018969318,0.007086735,I_IV
K03074,-3.663586661,4.96E-06,-5.602991905,2.19E-13,I_IV
K03075,-0.981030793,0.005648117,0.145879391,0.367747045,I_IV
K03076,0.668040905,0.003010756,0.158731809,0.2009451,I_IV
K03077,-3.04269887,0.000254109,-2.042805308,0.000810067,I_IV
K03078,0.600544678,0.355454495,-0.224760984,0.816191414,I_IV
K03079,4.015018387,1.17E-06,7.120415632,3.39E-15,I_IV
K03080,,,-0.013629287,0.992003565,I_IV
K03081,4.458311772,9.27E-10,1.982231444,0.000415921,I_IV
K03082,-4.249123984,2.00E-09,-6.55364424,1.18E-18,I_IV
K03086,-0.347810936,0.077333915,-0.352962543,0.000388223,I_IV
K03087,-0.069654235,0.935948522,-0.723921284,0.376368452,I_IV
K03088,-4.786675367,1.53E-11,-6.190487584,2.22E-17,I_IV
K03089,0.7184421,0.236525932,-0.005565321,0.997060813,I_IV
K03090,-3.404842108,1.14E-06,-5.123333998,1.17E-11,I_IV
K03091,0.22201575,0.714449423,3.349938951,2.12E-18,I_IV
K03092,-3.368926731,1.10E-07,-3.068113662,5.03E-06,I_IV
K03095,4.907597333,1.07E-09,5.580694293,4.79E-20,I_IV
K03098,1.061319181,0.028199787,0.165989773,0.893810763,I_IV
K03100,-0.149960098,0.633488526,0.471200887,0.000100366,I_IV
K03101,-0.863726154,0.065195572,-1.078680775,6.40E-11,I_IV
K03106,-1.119630225,4.04E-06,-0.153278155,0.177770187,I_IV
K03110,-0.089221644,0.80732311,-0.114952786,0.351581695,I_IV
K03111,1.480444383,8.25E-10,0.064394407,0.797353481,I_IV
K03112,1.006599256,0.070808049,0.10066007,0.94599804,I_IV
K03113,-0.040197753,0.932965162,-1.605749751,0.007248981,I_IV
K03115,0.673018122,0.170628173,-1.227233794,0.045351839,I_IV
K03116,-0.026366504,0.966917751,-1.064653923,0.061150788,I_IV
K03117,-1.844113076,0.011479428,-5.068624228,3.01E-11,I_IV
K03118,-2.750241621,0.000212219,-6.85536135,8.45E-20,I_IV
K03119,,,0.102977966,0.942590078,I_IV
K03125,1.324301313,0.011240212,,,I_IV
K03135,1.278849981,0.016413095,,,I_IV
K03146,-2.781066663,0.000239421,-4.020477709,2.83E-08,I_IV
K03147,-4.902478476,5.68E-09,-7.281987992,1.37E-19,I_IV
K03148,-3.980970491,6.71E-08,-4.876030005,2.03E-09,I_IV
K03149,-4.884579765,6.53E-11,-7.415490157,5.02E-23,I_IV
K03150,-4.197927383,4.51E-08,-5.173935945,3.31E-09,I_IV
K03151,3.120760698,7.23E-16,2.099177535,3.35E-18,I_IV
K03152,-0.508841537,0.211559451,1.660098783,7.62E-11,I_IV
K03153,-3.976576244,2.26E-06,-7.194583723,4.05E-18,I_IV
K03154,-4.166352585,8.20E-08,-6.295195399,3.01E-20,I_IV
K03168,0.312654528,0.116623297,-0.547142149,6.05E-07,I_IV
K03169,-0.882984624,0.091947887,1.188056677,0.000347941,I_IV
K03177,-0.662192069,0.084755631,-0.460805541,0.000189058,I_IV
K03179,0.762999435,0.137033914,0.296452034,0.744749967,I_IV
K03181,,,0.178669889,0.87980429,I_IV
K03182,0.763126725,0.120390727,1.119240138,0.118163665,I_IV
K03183,-0.089789691,0.90262667,2.976104535,5.24E-11,I_IV
K03184,,,0.398427699,0.587428069,I_IV
K03185,0.850314939,0.074258198,0.11211445,0.935197571,I_IV
K03186,,,0.800531963,0.195822553,I_IV
K03187,0.338076205,0.728101954,-1.354148689,0.0365865,I_IV
K03188,0.570137605,0.556099432,-1.326923063,0.047824864,I_IV
K03189,0.100893867,0.917875482,-1.395120357,0.029778181,I_IV
K03190,-0.260105968,0.784404064,-1.016583945,0.175928463,I_IV
K03191,-4.629403806,1.42E-09,-2.761778789,3.08E-06,I_IV
K03195,-2.065927674,0.001623465,-2.268335306,0.000184033,I_IV
K03196,-1.349853475,0.036604427,-2.014056041,0.000802339,I_IV
K03197,,,-0.424433329,0.51768383,I_IV
K03199,-2.431194574,0.002004267,-2.335096172,0.000601601,I_IV
K03200,-0.872779204,0.114436083,-1.300324479,0.017651561,I_IV
K03204,-1.770958379,0.003277586,-1.298874791,0.032771554,I_IV
K03205,0.196674989,0.804617897,1.704943225,1.52E-05,I_IV
K03207,,,0.218615922,0.828895035,I_IV
K03208,1.014717961,0.032230525,,,I_IV
K03210,0.090037654,0.792206983,0.303474445,0.064476192,I_IV
K03212,0.230034433,0.633496833,-3.154830746,7.53E-05,I_IV
K03214,0.758413486,0.124722098,0.079871842,0.956146831,I_IV
K03215,-0.108821199,0.84514032,-1.070647322,0.125096426,I_IV
K03216,-0.259988787,0.595696398,0.288453826,0.056622226,I_IV
K03217,0.763193435,0.006274637,0.576224402,1.93E-09,I_IV
K03218,0.002465316,0.994872043,-0.614689634,5.87E-05,I_IV
K03226,1.036319949,0.03587898,,,I_IV
K03228,0.980942378,0.027379949,,,I_IV
K03230,0.9256806,0.045722124,,,I_IV
K03231,0.031747073,0.967951978,0.045270685,0.97362666,I_IV
K03234,-0.266306088,0.662896167,0.043692917,0.973489846,I_IV
K03260,0.456876591,0.623216903,0.937508564,0.450820227,I_IV
K03269,-4.377752249,2.07E-08,-5.246843064,1.18E-10,I_IV
K03270,-4.291196497,7.34E-09,-4.831818286,4.04E-11,I_IV
K03271,-2.684634741,9.37E-05,-4.151471852,4.47E-09,I_IV
K03272,-3.803582926,1.01E-07,-5.10436841,5.62E-11,I_IV
K03273,-2.577900995,0.000652894,-4.3242237,3.37E-09,I_IV
K03274,0.126651668,0.838688757,-0.595052652,0.429051628,I_IV
K03275,,,0.070639775,0.95810081,I_IV
K03276,,,-0.062929069,0.964543298,I_IV
K03279,0.981322392,0.093734299,-1.741265887,0.072125332,I_IV
K03281,1.909749328,1.12E-07,2.663200882,1.12E-23,I_IV
K03282,-0.584505815,0.367797746,0.337772573,0.175544695,I_IV
K03283,0.997573867,0.090352551,-0.044478303,0.975917005,I_IV
K03284,0.196831984,0.657321622,1.599083291,6.71E-08,I_IV
K03285,0.614968404,0.195474709,-0.028764738,0.98365822,I_IV
K03286,-3.95552134,2.04E-08,-5.241753155,1.64E-09,I_IV
K03287,-3.657499664,7.36E-07,-5.21280041,5.93E-10,I_IV
K03289,-3.836814366,5.66E-07,-5.246792925,5.53E-11,I_IV
K03290,0.034086765,0.967951978,0.0053435,0.997889762,I_IV
K03291,0.793218094,0.145779264,-0.930607419,0.258595741,I_IV
K03292,-1.294020343,0.040199297,3.454012891,6.02E-10,I_IV
K03293,1.320021489,0.000210402,1.393190237,1.24E-14,I_IV
K03294,1.88445432,2.78E-09,2.260974202,6.47E-24,I_IV
K03295,2.197583524,0.000615391,0.911687477,1.76E-09,I_IV
K03296,-4.749687004,9.02E-10,-5.935103242,7.14E-11,I_IV
K03297,0.78760024,0.226370401,1.323349638,0.081569434,I_IV
K03298,,,0.120043846,0.927182692,I_IV
K03299,-1.513385104,0.065195572,-4.949157125,1.16E-10,I_IV
K03300,0.888789672,0.292174511,2.67802226,0.001596775,I_IV
K03302,0.855576778,0.111966803,-0.65834395,0.437884692,I_IV
K03303,1.056101429,0.118313836,4.4482915,1.20E-13,I_IV
K03304,-2.314716603,0.000201585,-4.5830564,9.57E-10,I_IV
K03305,-1.037403006,0.071797945,3.445995135,2.17E-16,I_IV
K03306,-3.499216401,8.56E-07,-3.879873102,2.31E-17,I_IV
K03307,2.305350779,0.00089221,3.614766885,3.71E-15,I_IV
K03308,-3.875940012,2.38E-07,-5.861329405,6.54E-12,I_IV
K03309,-4.428686749,6.15E-10,-5.887728969,2.14E-15,I_IV
K03310,-4.159092444,6.70E-09,-5.99111229,6.58E-17,I_IV
K03311,-1.538782361,0.000357167,-0.077010851,0.684343711,I_IV
K03312,-4.629483506,7.48E-09,-5.342505448,1.17E-11,I_IV
K03313,-4.295559749,5.00E-08,-7.774018188,6.88E-23,I_IV
K03314,0.614321056,0.226009766,0.189411071,0.881770326,I_IV
K03315,-1.557387904,0.009832658,2.58526943,1.51E-13,I_IV
K03316,2.729813937,0.000528381,0.821017851,0.025530688,I_IV
K03317,0.447184495,0.485527199,-1.379234627,0.180839711,I_IV
K03319,5.156122448,1.98E-08,6.972738605,2.21E-48,I_IV
K03320,0.00290208,0.996821486,0.20628647,0.725618538,I_IV
K03321,0.995761914,0.120486894,-1.879012971,0.02426181,I_IV
K03322,4.197443822,2.36E-09,2.034657783,5.88E-12,I_IV
K03324,-4.987955611,1.69E-11,-5.563611474,4.06E-11,I_IV
K03325,0.437139098,0.380661624,-1.099023851,0.215933096,I_IV
K03326,-1.688920935,0.005294864,-5.427915058,4.51E-10,I_IV
K03327,-3.389836454,2.18E-06,-7.046609439,8.20E-31,I_IV
K03328,3.359694337,3.38E-16,4.18115736,3.57E-22,I_IV
K03329,,,0.021558308,0.987582546,I_IV
K03331,1.217000187,0.02623386,0.086048256,0.964354829,I_IV
K03332,-0.848526394,0.134789078,-1.491011316,0.036618534,I_IV
K03333,1.223160207,0.010172205,-0.475171771,0.650666715,I_IV
K03335,-2.237007648,0.006506753,-3.13265687,2.00E-05,I_IV
K03336,-2.638996284,0.001152714,-3.931289767,8.34E-07,I_IV
K03337,-1.548708104,0.028504942,-3.478334645,4.41E-06,I_IV
K03338,-1.197387265,0.128925437,-3.146976277,1.26E-05,I_IV
K03340,-4.727800451,9.96E-10,-5.54132299,4.27E-11,I_IV
K03342,0.588666154,0.295834378,-1.006831248,0.23604033,I_IV
K03343,,,-0.251475395,0.827546318,I_IV
K03346,5.51107638,1.43E-15,4.930792842,1.58E-31,I_IV
K03350,1.398818594,0.018385774,,,I_IV
K03364,-5.375619969,9.20E-11,-5.28573593,4.37E-11,I_IV
K03366,0.969558834,0.186368741,1.693342923,0.08231844,I_IV
K03367,4.528955778,4.21E-15,4.088219142,6.70E-26,I_IV
K03379,1.08166901,0.033831839,-0.331137539,0.744749967,I_IV
K03380,,,-0.016782076,0.992064838,I_IV
K03385,-2.227250102,0.003335515,-4.292564654,5.96E-08,I_IV
K03386,-2.651321759,1.17E-07,-6.8238478,4.24E-39,I_IV
K03387,-2.979046278,1.25E-06,-7.13966606,5.49E-28,I_IV
K03389,0.201442334,0.751983196,-1.119777451,0.087849201,I_IV
K03392,,,-0.499624679,0.570983485,I_IV
K03394,-3.370693266,5.68E-06,-3.08622853,2.07E-06,I_IV
K03399,-1.541632188,0.008259169,-2.740645504,2.25E-05,I_IV
K03400,,,-0.8852505,0.18048925,I_IV
K03402,-4.920900231,1.13E-10,-6.221282204,9.12E-30,I_IV
K03404,-1.730792302,0.025526113,-4.435028428,1.13E-10,I_IV
K03405,-2.916849693,0.000207761,-3.780466263,8.06E-09,I_IV
K03406,-4.449397451,5.02E-06,-6.701346563,5.87E-06,I_IV
K03407,-5.202949557,1.28E-07,-5.002620172,1.59E-06,I_IV
K03408,-4.630658088,5.68E-07,-3.836164435,8.59E-07,I_IV
K03410,-4.260127383,6.32E-06,-3.263140813,5.87E-05,I_IV
K03411,-3.760835015,2.24E-06,-3.156739973,3.74E-05,I_IV
K03412,-4.327110165,1.05E-05,-4.726874158,4.39E-07,I_IV
K03413,-4.455779972,5.67E-08,-4.450934385,7.44E-08,I_IV
K03414,,,0.061246055,0.965112736,I_IV
K03415,-3.915976288,2.44E-05,-3.595636676,5.06E-06,I_IV
K03416,,,-0.119871051,0.927182692,I_IV
K03417,,,-0.047744986,0.975501205,I_IV
K03420,0.209229139,0.784404064,-1.933213334,0.010128668,I_IV
K03423,-2.660003801,0.000226834,-4.713263245,2.70E-09,I_IV
K03424,0.824651528,0.016674733,-0.076050295,0.547366364,I_IV
K03426,-3.352317353,1.07E-05,-4.412892141,6.51E-09,I_IV
K03427,-0.510411421,0.203496413,-0.205748598,0.478027359,I_IV
K03429,1.433310615,0.002267633,1.132520077,4.07E-08,I_IV
K03430,1.085860037,0.0274686,-0.336433155,0.699319396,I_IV
K03431,0.997519652,0.000154778,0.011927024,0.967602291,I_IV
K03432,0.663218706,0.218243552,-0.016270833,0.990444946,I_IV
K03433,1.152496674,0.136777623,0.13800686,0.918637796,I_IV
K03434,1.304790861,0.010472097,-0.313277417,0.844464255,I_IV
K03435,0.848612967,0.099785022,0.05808456,0.967582064,I_IV
K03436,3.140526309,4.13E-10,3.679437462,1.60E-23,I_IV
K03437,0.039586478,0.912480874,-0.046056818,0.849586197,I_IV
K03438,1.73808554,3.99E-10,-0.084005713,0.632106203,I_IV
K03439,1.011960491,0.00698418,-0.262517473,0.038933347,I_IV
K03442,-1.023516199,0.060268968,1.623531898,4.62E-10,I_IV
K03445,-4.7953965,7.71E-09,-4.974418145,1.04E-11,I_IV
K03446,3.74493631,7.46E-14,2.228458676,9.08E-19,I_IV
K03449,0.203869962,0.74173108,-2.100459186,0.018772402,I_IV
K03451,-2.85292023,6.91E-05,-4.746345949,4.80E-08,I_IV
K03453,-3.94607602,2.43E-08,-6.170828826,1.84E-16,I_IV
K03455,3.915685981,6.43E-15,5.194854657,7.00E-57,I_IV
K03457,-1.129251441,0.187516042,-2.417969875,0.00069001,I_IV
K03458,-0.596843663,0.137175246,0.5402393,3.87E-06,I_IV
K03462,0.728332657,0.103366953,-0.90480368,0.082596439,I_IV
