UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB077_W5D7,UAB077,IV,#262fd4,3,0.002292213,0.001100742,0.000142047,6.92E-05,1.26E-08,8.67E-06,0.000640522,0.000320157,0.003998496
UAB077_W8D2,UAB077,IV,#262fd4,4,0.000827666,0.001236945,0.000181743,0.000150482,6.02E-08,2.43E-05,0.000405481,0.000466795,0.000523312
UAB077_W9D7,UAB077,IV,#262fd4,5,0.002008207,0.000767364,0.00011757,9.04E-05,1.58E-07,1.98E-05,0.000305384,0.00040402,0.006133994
UAB079_W2D2,UAB079,IV,#262fd4,1,0.001032466,0.00090629,1.99E-05,1.73E-05,5.14E-08,5.70E-06,6.39E-05,0.000259203,0.000641341
UAB079_W3D7,UAB079,IV,#262fd4,2,0.000975135,0.000544518,7.59E-05,4.89E-05,,2.55E-05,0.000183228,0.000580632,0.000528478
UAB079_W6D7,UAB079,IV,#262fd4,3,0.001638651,0.000670217,4.03E-05,3.04E-05,8.74E-08,8.05E-06,6.32E-05,0.000168732,0.004531245
UAB079_W7D6,UAB079,IV,#262fd4,4,0.001037687,0.00071408,5.99E-05,5.82E-05,1.66E-06,1.49E-05,0.000148902,0.000328134,0.001020097
UAB079_W10D1,UAB079,IV,#262fd4,5,0.001116342,0.001180759,4.12E-05,4.31E-05,8.45E-08,6.64E-06,0.000102595,0.000290537,0.001425732
UAB082_W2D5,UAB082,IV,#262fd4,1,0.00097596,0.002147597,2.97E-05,1.18E-05,6.41E-06,5.22E-06,2.97E-05,0.00015732,0.000531159
UAB082_W3D7,UAB082,IV,#262fd4,2,0.001638538,0.000885304,4.45E-05,2.86E-05,7.46E-07,6.28E-06,0.000113112,0.000156403,0.004170603
UAB082_W5D7,UAB082,IV,#262fd4,3,0.002027952,0.000674787,3.91E-05,1.59E-05,7.45E-08,3.20E-06,8.67E-05,0.000158863,0.005061064
UAB082_W10D2,UAB082,IV,#262fd4,5,0.001281137,0.000747278,4.74E-05,2.67E-05,1.42E-06,2.30E-05,0.000134004,0.000335805,0.00182752
UAB088_W2D1,UAB088,IV,#262fd4,1,0.001859,0.001855636,5.93E-05,3.25E-05,1.55E-06,1.25E-05,9.17E-05,0.000366496,0.003420909
UAB088_W4D1,UAB088,III,#d48326,2,0.002556867,0.00013112,1.59E-05,1.84E-05,,1.43E-06,5.39E-05,0.000201167,0.001229304
UAB088_W6D1,UAB088,III,#d48326,3,0.001941447,0.000262275,2.59E-05,3.70E-06,1.65E-06,6.94E-06,4.12E-05,0.000233543,0.001016453
UAB088_W7D6,UAB088,III,#d48326,4,0.001474129,0.000625956,4.90E-05,5.56E-05,3.64E-06,2.77E-05,0.000173196,0.000364933,0.001509954
UAB088_W10D1,UAB088,IV,#262fd4,5,0.002492863,0.000369839,1.73E-05,2.09E-05,,4.53E-06,2.46E-05,0.000237138,0.001206354
UAB093_W1D7,UAB093,I,#d44646,1,0.00373391,3.98E-05,4.68E-06,6.63E-07,2.59E-07,3.08E-07,3.84E-05,0.000471725,0.000194067
UAB093_W4D2,UAB093,I,#d44646,2,0.002781407,4.04E-05,5.94E-06,3.88E-06,1.18E-07,1.35E-06,3.24E-05,0.000635852,0.000271542
UAB093_W5D7,UAB093,I,#d44646,3,0.002656559,6.87E-06,7.60E-07,4.13E-06,,5.64E-08,2.17E-05,0.000637681,3.76E-05
UAB093_W7D7,UAB093,I,#d44646,4,0.002614236,1.52E-05,1.55E-06,7.41E-07,,8.06E-08,3.12E-05,0.000310158,2.78E-05
UAB093_W9D6,UAB093,I,#d44646,5,0.0010531,0.000162474,9.00E-06,8.90E-06,9.56E-07,4.82E-06,5.86E-05,0.000354051,0.000411356
UAB096_W1D5,UAB096,IV,#262fd4,1,0.001257671,0.000670438,4.11E-05,7.74E-05,2.76E-06,2.26E-05,0.000209241,0.000445516,0.001641887
UAB096_W3D3,UAB096,IV,#262fd4,2,0.001066557,0.000375431,6.80E-05,1.94E-05,,4.07E-06,0.000151031,0.000219702,0.001522446
UAB096_W5D3,UAB096,III,#d48326,3,0.001150627,0.00059228,5.04E-05,5.64E-05,4.55E-06,1.65E-05,0.000187139,0.00041861,0.001305058
UAB096_W7D3,UAB096,IV,#262fd4,4,0.000267803,0.000369298,3.45E-06,1.30E-05,7.02E-07,1.52E-06,2.32E-05,0.000164786,5.34E-05
UAB096_W9D7,UAB096,IV,#262fd4,5,0.00059146,0.000490378,3.87E-05,0.00013483,3.06E-07,4.47E-06,0.000152191,0.000378247,0.000755863
UAB106_W1D7,UAB106,V,#525254,1,0.002758218,8.90E-06,2.49E-06,7.15E-06,2.61E-08,,4.70E-06,0.000158307,0.000405159
UAB106_W3D7,UAB106,V,#525254,2,0.002177186,0.000110787,2.17E-05,1.75E-05,7.49E-08,1.53E-06,5.27E-05,0.000224615,0.00105945
UAB106_W5D4,UAB106,V,#525254,3,0.002500419,1.71E-05,1.06E-06,3.70E-06,7.45E-08,7.23E-07,2.74E-06,0.000262637,0.00025925
UAB106_W7D7,UAB106,V,#525254,4,0.002430785,0.00014227,1.38E-05,2.30E-05,,1.35E-05,4.36E-05,0.000239715,0.000613155
UAB106_W9D7,UAB106,V,#525254,5,0.002749205,0.000129992,1.85E-05,9.64E-05,5.25E-07,1.88E-06,2.57E-05,0.000203284,0.000590583
UAB110_W1D7,UAB110,IV,#262fd4,1,0.001160059,0.001188881,6.83E-05,3.34E-05,7.12E-07,1.37E-05,0.000176849,0.000385532,0.000594146
UAB110_W3D7,UAB110,IV,#262fd4,2,0.000504525,0.001322075,1.63E-05,3.64E-06,,,3.33E-05,4.63E-05,7.35E-05
UAB110_W6D2,UAB110,IV,#262fd4,3,0.001063669,0.000555141,3.94E-05,5.46E-05,6.63E-08,1.99E-05,8.52E-05,0.000247475,0.000375462
